1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_ALQ,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,OverallQual_GrLivArea,TotalBsmtSF_1stFlrSF
5.901937346480747,0.0,3.0,922,392,93.86219888893022,1957.0,8.503197165847665,8400,70.0,0.0,0,6,5,399.835603275783,1957,1957,145000,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,6570,1726596
5.3203876962472245,772.0,3.0,0,799,116.477124348844,1993.0,8.908539060537006,7837,59.0,0.0,40,7,6,257.43823248680314,1993,1994,178000,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,9426,638401
5.316140081933861,0.0,2.0,0,796,0.0,1980.0,7.44675014389863,8777,67.0,0.0,0,7,5,256.5856101528554,1910,1950,85000,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,3980,633616
5.555481645930667,787.0,3.0,569,162,79.1996295026166,1939.0,9.185376908583823,7200,60.0,1.6623703968328707,0,7,5,238.02832945017641,1937,1950,175000,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,8840,717111
5.6077538968979255,665.0,3.0,218,808,97.59981059406121,1924.0,9.080194860551229,5000,50.0,0.0,0,6,5,321.08872734534464,1924,1950,127000,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,8455,1052676
5.448267046115671,0.0,3.0,894,0,159.7801920994194,1975.0,7.681246375126908,9800,70.0,0.0,0,7,5,284.27480062783064,1972,1972,149900,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,4470,799236
5.146748844810546,876.0,3.0,0,684,121.6303161672067,2005.0,8.892295941707546,11911,122.0,0.0,38,5,6,224.50401126483447,2005,2005,174000,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,9360,467856
5.316140081933861,358.0,3.0,735,61,79.1996295026166,1922.0,8.218317798644504,5436,40.0,0.0,96,8,4,256.5856101528554,1922,2007,125500,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,4616,633616
5.997965525690161,0.0,3.0,588,606,165.66493935529013,1981.0,8.680487390826855,12090,78.0,1.6354800351838943,0,6,6,428.8995208661756,1981,1981,175500,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,8532,2022084
6.060184277982189,0.0,3.0,0,1496,140.40890445701615,2007.0,8.795970450247538,9158,76.0,1.572781959295518,130,5,8,448.6861546904359,2007,2007,225000,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,11968,2238016
5.472426354454395,0.0,3.0,187,0,79.1996295026166,1990.0,7.724363494584747,8400,70.0,0.0,0,5,6,261.696433420885,1966,1966,129000,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,5478,743182
5.674455411004854,0.0,3.0,516,380,142.91493455390565,1966.0,8.087813371543806,13400,85.0,1.7318747695259518,0,5,5,320.5346885170087,1966,1966,159950,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,5430,1112064
6.144048833169725,0.0,3.0,704,567,141.41215958093062,1978.0,8.952390420649564,11880,82.0,1.6325966643014833,0,5,7,388.1983907861706,1978,1978,157000,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,11207,2034871
5.77886485758139,800.0,3.0,454,314,143.41530304792704,1965.0,9.464862751508544,13600,85.0,1.6086607275856095,42,6,7,248.61165361224838,1965,1990,205000,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,13902,910848
5.756565657016432,0.0,3.0,0,1164,153.8612847660509,1969.0,8.236999120258469,9600,80.0,1.6014705258998032,0,5,7,359.0659084840773,1969,1969,140000,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,8148,1354896
5.589398991892933,1257.0,4.0,0,1010,119.05820993839197,2002.0,9.791632415519565,8068,69.0,0.0,46,5,6,316.6533333966214,2002,2002,200000,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,13602,1020100
6.5235213354528545,0.0,3.0,35,905,134.36507701521373,1953.0,9.782781140262742,21000,69.0,1.6154819821899538,120,5,6,531.3656817828665,1953,1953,217000,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,13554,4086531
5.356635804674058,0.0,2.0,180,0,200.341037174406,1963.0,7.518385261756435,8235,49.0,0.0,50,7,5,264.8139844639244,1955,1995,125000,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,4125,680625
5.169175190658653,728.0,3.0,535,155,131.8341111052994,1977.0,8.686848503705152,7950,75.0,1.572781959295518,0,6,6,226.2357611146225,1977,1977,159500,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,8556,481620
6.182323054747625,0.0,3.0,1398,0,175.40145243509843,1986.0,9.024067203463911,12416,47.0,1.5633503710048868,0,5,6,477.92124423619765,1986,1986,184000,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,9906,2651506
5.306175101387958,0.0,2.0,0,768,68.03939259624327,1926.0,7.4291545557405785,10594,55.0,0.0,0,5,5,248.61165361224838,1926,1950,96500,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,3945,605952
5.92385119342224,1296.0,6.0,500,748,248.99443504322068,1969.0,10.173616701927093,11643,91.0,1.715666980266497,0,5,5,381.9577341839892,1969,1969,200000,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,13170,1669824
